N,label,acc,total
1,a#1,1.0,800
1,a0,1.0,800
1,a1,1.0,800
1,a3,1.0,800
1,c1,1.0,800
1,c3,1.0,800
1,c4,1.0,800
1,d#3,1.0,800
1,e4,1.0,800
1,f#3,1.0,800
1,g4,1.0,800
2,a#1,1.0,600
2,a0,1.0,600
2,a1,1.0,600
2,a3,1.0,600
2,c1,1.0,600
2,c3,1.0,600
2,c4,1.0,600
2,d#3,1.0,600
2,e4,1.0,600
2,f#3,1.0,600
2,g4,1.0,600
3,a#1,1.0,400
3,a0,1.0,400
3,a1,1.0,400
3,a3,1.0,400
3,c1,1.0,400
3,c3,1.0,400
3,c4,1.0,400
3,d#3,1.0,400
3,e4,1.0,400
3,f#3,1.0,400
3,g4,1.0,400
