N,label,acc,total
1,a0,0.976,1000
1,a1,1.0,1000
1,a3,1.0,1000
1,c1,1.0,1000
1,c3,1.0,1000
1,c4,1.0,1000
1,d#3,1.0,1000
1,e4,1.0,1000
1,f#3,0.932,1000
1,g4,1.0,1000
2,a0,1.0,1000
2,a1,1.0,1000
2,a3,1.0,1000
2,c1,1.0,1000
2,c3,1.0,1000
2,c4,1.0,1000
2,d#3,1.0,1000
2,e4,1.0,1000
2,f#3,1.0,1000
2,g4,1.0,1000
3,a0,1.0,1000
3,a1,1.0,1000
3,a3,1.0,1000
3,c1,1.0,1000
3,c3,1.0,1000
3,c4,1.0,1000
3,d#3,1.0,1000
3,e4,1.0,1000
3,f#3,1.0,1000
3,g4,1.0,1000
