N,acc_mean,acc_ci_lo,acc_ci_hi
1,0.975909090909091,0.9318181818181818,1.0
2,0.9913636363636364,0.9545454545454546,1.0
3,0.9927272727272728,0.9545454545454546,1.0
5,0.994090909090909,0.9545454545454546,1.0
7,0.995,0.9545454545454546,1.0
9,0.995909090909091,0.9545454545454546,1.0
12,0.995909090909091,0.9772727272727273,1.0
15,0.9986363636363635,0.9772727272727273,1.0
