----- BEGIN /raw_seg_silence_15s_10798.csv (430635 bytes) -----
#BEGIN {"ver":4,"type":"segment","mode":"silence","key":"-","rep":0,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":10798}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
171,0.000079,0.215539,1122.63,986.13,2390.62,0.569019,0.243137,-1.925414,-0.479606,1.215169,0.263231,0.334433,0.592189,375.00,0.041374,12.9292,0.1590
176,0.000082,0.209960,1078.37,1015.55,2531.25,0.545258,0.164706,-0.861176,-0.280720,1.033880,-0.171439,-0.141965,0.421421,375.00,0.045414,13.9427,0.3294
181,0.000066,0.212906,1190.73,1046.20,2578.12,0.589466,0.254902,-0.784051,-0.531184,0.929698,-0.183686,-0.005514,0.574737,375.00,0.045292,12.3928,0.2805
187,0.000085,0.168174,1294.88,1107.03,2859.38,0.614865,0.168627,-1.141288,-0.340245,0.936089,-0.136070,-0.106766,0.788278,375.00,0.035726,10.3178,0.2532
192,0.000085,0.239016,1254.60,1080.52,2765.62,0.640148,0.211765,-1.023714,-0.317794,0.912401,-0.049421,-0.211979,0.690506,328.12,0.037754,10.2317,0.2870
197,0.000079,0.138497,1109.66,1015.96,2531.25,0.594797,0.196078,-1.054156,-0.502650,1.052014,0.118677,-0.083002,0.469116,375.00,0.042524,12.2627,0.2746
203,0.000078,0.203258,1042.35,1018.44,2484.38,0.562298,0.172549,-0.726550,-0.246977,0.960974,0.057882,-0.359811,0.314482,375.00,0.046900,13.1999,0.3860
208,0.000078,0.130638,1090.64,1043.49,2531.25,0.584464,0.196078,-0.684868,-0.267686,1.027406,-0.156688,-0.334989,0.416824,375.00,0.046122,12.9898,0.3735
213,0.000078,0.126933,1162.70,1051.52,2531.25,0.600407,0.207843,-0.867656,-0.413437,1.030555,-0.215150,-0.074218,0.539907,375.00,0.041866,13.2302,0.2945
219,0.000084,0.194389,1197.09,1067.00,2671.88,0.604279,0.176471,-1.210128,-0.664924,1.120777,0.095545,-0.008447,0.667177,375.00,0.043452,13.1833,0.2198
224,0.000090,0.157872,1220.31,1076.48,2812.50,0.573943,0.133333,-1.352364,-0.825511,1.217505,0.070625,0.082269,0.807474,375.00,0.046690,14.0838,0.1774
229,0.000081,0.209909,1060.54,993.47,2390.62,0.559636,0.180392,-1.102864,-0.284402,1.108478,-0.101165,-0.037480,0.417434,375.00,0.049781,14.5007,0.2924
235,0.000073,0.202118,1087.23,1002.77,2437.50,0.600387,0.219608,-0.886380,-0.382056,1.025236,-0.110289,-0.077334,0.430824,375.00,0.049215,12.9860,0.3077
240,0.000068,0.120897,1249.84,1025.80,2625.00,0.673991,0.313726,-1.015685,-0.788470,0.916756,0.016764,0.219459,0.651176,375.00,0.039173,11.9188,0.2079
245,0.000067,0.217162,1223.98,1043.69,2625.00,0.658928,0.254902,-1.066781,-0.457397,0.881165,0.111332,-0.059538,0.591218,375.00,0.034194,10.2980,0.2635
251,0.000078,0.163076,1306.34,1092.85,2765.62,0.679435,0.262745,-0.977069,-0.484965,0.894436,-0.120377,-0.059534,0.747509,375.00,0.033967,10.7415,0.2545
256,0.000047,0.190655,1216.76,1080.43,2718.75,0.629579,0.415686,-0.673220,-0.354017,0.855401,-0.178536,-0.226846,0.577219,375.00,0.034829,10.2044,0.3343
261,0.000077,0.204626,1307.20,1090.96,2765.62,0.728291,0.184314,-0.714049,-0.105520,0.549869,-0.145173,-0.215892,0.630766,375.00,0.024073,7.1837,0.3504
267,0.000089,0.141809,1198.50,1031.70,2578.12,0.621688,0.196078,-0.923030,-0.397615,0.875948,0.058525,-0.164083,0.550254,375.00,0.028703,9.2821,0.2987
272,0.000093,0.275964,954.23,940.46,2203.12,0.535232,0.133333,-0.588830,-0.038919,0.980151,-0.259174,-0.237874,0.144646,375.00,0.043035,12.2289,0.4336
277,0.000081,0.171152,1061.86,989.92,2390.62,0.557616,0.290196,-0.729362,-0.295233,1.082020,-0.425586,-0.072210,0.440371,375.00,0.050987,14.5901,0.3326
283,0.000058,0.198960,1050.46,1016.37,2437.50,0.583569,0.407843,-0.761106,-0.037222,1.036434,-0.347319,-0.259281,0.368493,375.00,0.046162,11.9486,0.3885
288,0.000075,0.116206,1142.53,1066.39,2625.00,0.642210,0.235294,-0.795324,0.048010,0.773616,-0.167605,-0.251884,0.393186,375.00,0.024736,7.6929,0.3907
293,0.000100,0.217903,1183.41,1023.37,2578.12,0.662613,0.074510,-1.187534,-0.551370,0.933133,0.214246,0.084507,0.507017,375.00,0.030134,8.9978,0.2377
299,0.000079,0.304980,1107.31,1039.55,2484.38,0.595049,0.219608,-1.086016,-0.085692,1.087941,-0.285219,-0.112576,0.481562,328.12,0.044940,11.9065,0.3164
304,0.000081,0.167918,1106.12,1048.15,2578.12,0.555154,0.203922,-1.236680,0.133061,1.079711,-0.284424,-0.169377,0.477705,328.12,0.047004,12.7803,0.3305
309,0.000093,0.269745,1139.63,1035.11,2625.00,0.620069,0.149020,-1.166539,-0.123587,1.024673,-0.236314,0.055807,0.445961,375.00,0.044974,11.8965,0.2899
315,0.000095,0.197676,1114.33,1035.49,2578.12,0.617221,0.133333,-0.841893,-0.268999,0.883557,-0.113968,-0.059270,0.400573,375.00,0.050345,12.6376,0.3261
320,0.000080,0.160747,1046.44,1004.97,2531.25,0.590739,0.215686,-0.949346,-0.079105,0.931579,-0.108009,-0.078149,0.283030,375.00,0.052882,12.5059,0.3505
325,0.000074,0.144477,1058.89,994.85,2531.25,0.582005,0.211765,-1.230200,-0.313743,1.075437,0.018739,0.121239,0.328529,375.00,0.048021,12.8621,0.2696
331,0.000086,0.185674,1151.37,1062.56,2625.00,0.607237,0.149020,-1.194324,-0.321175,1.070425,0.132359,-0.211984,0.524698,375.00,0.042602,12.4383,0.2862
336,0.000075,0.180116,1004.46,999.91,2437.50,0.523417,0.188235,-0.897438,-0.011603,0.997128,0.093959,-0.388387,0.206341,375.00,0.042735,11.6775,0.4101
341,0.000066,0.135239,1052.13,1004.91,2484.38,0.535989,0.250980,-0.995900,-0.129366,1.034340,-0.017294,-0.242084,0.350304,375.00,0.044262,13.1378,0.3505
347,0.000084,0.128440,1207.17,1093.51,2812.50,0.600761,0.164706,-1.024030,-0.225892,0.985521,-0.180275,-0.152066,0.596740,375.00,0.039522,12.9605,0.3000
352,0.000095,0.185684,1235.43,1117.81,2765.62,0.560449,0.121569,-1.098020,-0.259338,1.155790,-0.395639,-0.174204,0.771412,375.00,0.041872,13.6171,0.2734
357,0.000073,0.290005,1018.51,1010.20,2531.25,0.536227,0.227451,-0.895902,-0.039590,1.039333,-0.175023,-0.224901,0.296084,328.12,0.047748,13.0235,0.3768
363,0.000057,0.153245,1084.90,1058.63,2578.12,0.545236,0.337255,-1.154112,0.003970,1.028286,-0.102654,-0.205274,0.429784,328.12,0.044763,11.8401,0.3346
368,0.000077,0.129190,1283.93,1129.84,2859.38,0.631740,0.184314,-1.662158,-0.022270,0.978139,0.100206,-0.179234,0.785315,375.00,0.030520,9.8162,0.2414
373,0.000097,0.198808,1294.05,1142.91,2859.38,0.645770,0.141176,-0.894130,-0.011038,0.826558,-0.221008,-0.386079,0.685698,375.00,0.030713,9.2012,0.3538
379,0.000090,0.299396,1010.33,1019.78,2484.38,0.514357,0.149020,-0.705532,0.236475,0.849941,-0.235870,-0.412652,0.267637,328.12,0.044375,10.8946,0.4596
384,0.000068,0.228946,888.22,934.41,2203.12,0.513815,0.298039,-0.782292,0.309371,0.950433,-0.008541,-0.419623,-0.049347,328.12,0.047994,10.7348,0.4995
389,0.000070,0.161867,1020.65,991.96,2484.38,0.536163,0.278431,-1.123772,0.026355,1.025736,-0.003676,-0.210531,0.285887,375.00,0.034030,9.6580,0.3575
395,0.000085,0.218141,1228.12,1065.22,2765.62,0.662605,0.176471,-0.659771,-0.327839,0.626518,-0.173901,0.062525,0.472469,375.00,0.029291,8.6780,0.3184
400,0.000082,0.242937,1137.39,1038.30,2578.12,0.648349,0.172549,-0.861714,0.028180,0.762805,-0.255229,-0.001962,0.327920,375.00,0.036692,9.5338,0.3590
405,0.000077,0.220646,1041.39,1005.51,2437.50,0.569172,0.243137,-0.941472,0.060651,0.920772,-0.198708,0.001199,0.157558,328.12,0.043724,11.3631,0.3729
411,0.000070,0.124558,1124.32,1040.59,2578.12,0.624540,0.282353,-1.000660,-0.044100,0.920290,-0.240704,-0.015128,0.380302,328.12,0.044304,12.2282,0.3307
416,0.000093,0.225063,1181.87,1037.29,2718.75,0.608106,0.094118,-1.297632,-0.303361,1.005123,-0.001805,0.035449,0.562227,375.00,0.039852,11.9286,0.2499
421,0.000094,0.229895,1097.97,1031.56,2531.25,0.587940,0.172549,-0.886003,-0.026134,0.971262,-0.343703,-0.112470,0.397049,375.00,0.044267,11.6497,0.3547
427,0.000094,0.207041,1000.16,1001.71,2437.50,0.527784,0.145098,-0.892588,0.157043,1.033779,-0.339802,-0.236677,0.278245,328.12,0.048585,12.4300,0.4041
432,0.000076,0.167659,1046.06,1041.59,2531.25,0.565483,0.211765,-0.783667,0.071586,1.054955,-0.543858,-0.189305,0.390288,375.00,0.046601,12.0812,0.3878
437,0.000072,0.178257,1059.47,1029.52,2531.25,0.569832,0.203922,-1.212695,0.189510,1.050344,-0.211361,-0.157759,0.341960,328.12,0.040626,11.3587,0.3535
443,0.000081,0.188475,1169.35,1058.95,2718.75,0.619544,0.172549,-1.716755,0.111993,1.105783,0.065914,-0.193253,0.626318,375.00,0.037037,11.8693,0.2652
448,0.000082,0.255535,1246.54,1059.87,2578.12,0.604008,0.188235,-1.856379,-0.474770,1.286664,-0.168571,0.306845,0.906212,375.00,0.041835,12.8726,0.1453
453,0.000077,0.231972,1133.85,1019.98,2484.38,0.633342,0.196078,-1.347748,-0.254893,1.067502,-0.129018,0.153147,0.511010,375.00,0.038985,11.6760,0.2435
459,0.000076,0.209232,996.68,966.87,2343.75,0.561631,0.180392,-1.039295,0.133512,0.951507,-0.122885,-0.126042,0.203202,328.12,0.041859,12.0803,0.3795
464,0.000091,0.186635,1169.86,1015.56,2531.25,0.602778,0.188235,-1.207705,-0.549055,1.081211,-0.200986,0.286165,0.590371,375.00,0.042333,13.3982,0.2114
469,0.000076,0.236756,1149.16,1016.78,2531.25,0.579379,0.184314,-1.151361,-0.255520,1.048501,-0.360735,0.123570,0.595544,375.00,0.048347,13.4000,0.2567
475,0.000057,0.212567,1212.50,1041.42,2578.12,0.583373,0.321569,-1.657653,-0.272915,1.124935,0.028442,0.017456,0.759736,375.00,0.045492,11.8012,0.2052
480,0.000083,0.148042,1369.03,1075.84,2812.50,0.688730,0.203922,-1.730175,-0.274395,0.897611,-0.011128,0.221520,0.896567,375.00,0.034162,9.8564,0.1735
485,0.000077,0.184553,1212.32,1062.40,2625.00,0.643722,0.262745,-1.029449,-0.273067,0.899084,-0.142332,-0.029560,0.575326,375.00,0.035180,9.9451,0.2841
491,0.000058,0.177441,1132.14,1019.32,2484.38,0.586185,0.286275,-0.878889,-0.450227,0.917580,0.098667,-0.184239,0.497107,375.00,0.035972,10.7508,0.3056
496,0.000078,0.173472,1134.65,1035.65,2578.12,0.587236,0.200000,-1.323725,-0.066045,1.033258,-0.067006,-0.112316,0.535835,375.00,0.035186,11.3144,0.2877
501,0.000081,0.160167,1149.66,1080.12,2625.00,0.585044,0.211765,-0.892889,-0.022021,0.979651,-0.371006,-0.209823,0.516088,375.00,0.036724,11.9023,0.3519
507,0.000089,0.285492,1253.73,1115.00,2718.75,0.644932,0.141176,-1.027301,-0.254105,0.913211,-0.033887,-0.233818,0.635899,328.12,0.036062,9.9648,0.3012
512,0.000086,0.282191,1094.81,1053.35,2578.12,0.590964,0.149020,-1.003404,0.182439,0.870794,-0.034754,-0.386745,0.371669,328.12,0.042845,9.7830,0.4006
517,0.000083,0.217661,1048.28,974.19,2343.75,0.571537,0.211765,-1.434378,-0.038302,1.136074,-0.054287,-0.021508,0.412402,375.00,0.040841,10.0959,0.2826
523,0.000079,0.143980,1230.36,1057.45,2671.88,0.592406,0.207843,-1.594500,-0.472536,1.210927,-0.136387,0.119733,0.872762,375.00,0.047309,12.2628,0.1780
528,0.000085,0.234644,1133.84,1082.03,2625.00,0.586364,0.164706,-0.742511,0.135789,0.917117,-0.555835,-0.287068,0.532509,328.12,0.046955,12.6251,0.3951
533,0.000087,0.145649,1001.97,1007.72,2343.75,0.572973,0.164706,-0.524424,0.059404,0.788243,-0.226705,-0.302585,0.206068,328.12,0.045589,12.4748,0.4541
539,0.000090,0.121621,995.12,955.15,2296.88,0.524115,0.168627,-0.996764,-0.051377,1.057975,-0.251961,-0.009010,0.251137,328.12,0.047133,14.4617,0.3441
544,0.000075,0.267433,1013.89,994.26,2343.75,0.523194,0.250980,-1.268225,0.192739,1.050711,0.041953,-0.287628,0.270450,328.12,0.052937,14.3078,0.3707
549,0.000078,0.159654,1050.89,1017.19,2484.38,0.562692,0.262745,-0.780083,0.096355,0.857099,-0.107715,-0.318235,0.252579,328.12,0.046640,12.5124,0.4233
555,0.000084,0.220015,1233.66,1082.69,2765.62,0.628881,0.196078,-0.773855,-0.245318,0.814218,-0.283793,-0.099816,0.588565,375.00,0.037838,10.8451,0.3200
560,0.000086,0.220129,1166.41,1041.81,2578.12,0.573445,0.192157,-0.668607,-0.483808,0.943821,-0.099941,-0.292545,0.601080,375.00,0.045135,13.2164,0.3251
565,0.000072,0.202150,1131.32,1021.53,2484.38,0.602214,0.211765,-0.772077,-0.468655,0.891134,0.074387,-0.220059,0.495270,375.00,0.048003,12.0905,0.3191
571,0.000070,0.108223,1146.35,1019.51,2484.38,0.629224,0.227451,-0.969838,-0.583157,0.905951,0.136029,0.071151,0.439866,375.00,0.043676,12.5541,0.2627
576,0.000064,0.162943,1133.15,1031.78,2625.00,0.589383,0.345098,-1.061194,-0.555311,0.945476,0.262589,0.051709,0.356731,375.00,0.036195,11.5237,0.2665
581,0.000070,0.193410,1242.65,1091.36,2765.62,0.618466,0.258824,-1.192006,-0.493447,0.846145,0.405627,-0.161335,0.595013,375.00,0.031253,9.8057,0.2574
587,0.000086,0.195669,1217.08,1056.44,2671.88,0.659505,0.184314,-0.961653,-0.294420,0.689602,0.103932,-0.033057,0.495595,375.00,0.031266,9.1080,0.2975
592,0.000081,0.209936,1226.64,1072.69,2718.75,0.650170,0.196078,-0.993984,-0.028342,0.769550,-0.218433,-0.034059,0.505269,375.00,0.033425,9.1512,0.3215
597,0.000087,0.203151,1121.86,1059.38,2671.88,0.579897,0.164706,-1.021426,0.068120,0.939726,-0.228795,-0.159707,0.402081,328.12,0.045560,12.0391,0.3548
603,0.000081,0.166059,1056.94,1024.60,2437.50,0.533697,0.258824,-0.920384,-0.037740,0.972549,-0.129093,-0.193799,0.308466,375.00,0.043580,11.6071,0.3690
608,0.000086,0.167990,1090.49,1059.23,2718.75,0.610173,0.168627,-0.666156,0.018970,0.871952,-0.325766,-0.206848,0.307847,375.00,0.044652,11.6392,0.4076
613,0.000075,0.182726,1059.88,1017.53,2343.75,0.583813,0.231373,-0.855209,0.112813,0.878029,-0.267714,-0.122789,0.254868,375.00,0.041662,10.4557,0.3924
619,0.000081,0.160371,1169.93,1058.04,2671.88,0.630091,0.207843,-0.669905,-0.209908,0.804307,-0.226406,-0.162125,0.464036,375.00,0.043246,11.9174,0.3564
624,0.000085,0.125457,1139.18,1051.71,2671.88,0.595396,0.125490,-0.610302,-0.197550,0.831695,-0.210924,-0.305491,0.492574,375.00,0.044422,12.9154,0.3781
629,0.000077,0.198999,1213.38,1057.74,2578.12,0.610761,0.168627,-0.912603,-0.507542,1.088581,-0.449221,0.041586,0.739201,375.00,0.047945,13.5621,0.2497
