----- BEGIN /raw_seg_noise_25s_42798.csv (711381 bytes) -----
#BEGIN {"ver":4,"type":"segment","mode":"noise","key":"-","rep":0,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":42798}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
176,0.000082,0.185578,1079.56,1030.67,2531.25,0.573642,0.188235,-1.002471,0.276729,0.808438,-0.095648,-0.210288,0.223242,328.12,0.039185,10.4986,0.4087
181,0.000079,0.191377,1182.20,1021.09,2625.00,0.644377,0.168627,-1.439157,0.023592,0.922004,-0.230632,0.252467,0.471726,328.12,0.043830,12.4643,0.2554
187,0.000077,0.247907,1103.27,997.29,2484.38,0.612998,0.192157,-1.055052,0.158266,0.830869,-0.152365,-0.047452,0.265734,328.12,0.037317,9.7519,0.3641
192,0.000084,0.230158,1009.69,976.21,2250.00,0.611596,0.168627,-0.567979,0.303339,0.623760,-0.131044,-0.258121,0.030046,281.25,0.038736,9.9822,0.4954
197,0.000056,0.193974,1029.04,997.18,2390.62,0.586331,0.325490,-0.884857,0.372119,0.767423,-0.162871,-0.277952,0.186138,281.25,0.039205,10.3982,0.4476
203,0.000067,0.179961,1116.33,1066.07,2671.88,0.639629,0.337255,-0.923261,0.141084,0.764710,-0.058552,-0.266880,0.342899,328.12,0.032290,8.6318,0.3943
208,0.000064,0.143006,1379.72,1157.38,3093.75,0.673537,0.313726,-1.146331,-0.430766,0.831450,-0.051585,0.048391,0.748841,375.00,0.025812,9.4919,0.2338
213,0.000083,0.198117,1254.28,1087.76,2812.50,0.649727,0.160784,-1.749093,-0.340824,1.122047,0.001994,0.242348,0.723527,328.12,0.033524,12.2703,0.1783
219,0.000075,0.220673,1071.08,1021.93,2390.62,0.542764,0.188235,-1.459294,0.138808,1.219452,-0.309347,-0.094808,0.505186,328.12,0.039499,13.5329,0.2962
224,0.000084,0.279155,1060.12,1026.45,2437.50,0.584602,0.192157,-0.929840,0.253051,0.926219,-0.290183,-0.273251,0.314006,328.12,0.038447,11.2520,0.4113
229,0.000082,0.260505,1029.00,995.54,2437.50,0.601425,0.180392,-0.835801,-0.087760,0.838094,0.024621,-0.059648,0.120496,328.12,0.039601,10.8324,0.3794
235,0.000088,0.266945,1012.95,950.72,2250.00,0.607608,0.184314,-1.675880,0.143807,0.938564,0.309151,0.124847,0.159513,328.12,0.045591,10.8818,0.2874
240,0.000085,0.159333,1148.34,1041.44,2625.00,0.643538,0.258824,-1.735342,0.303632,0.874305,0.007829,0.083407,0.466171,328.12,0.040738,9.6435,0.2708
245,0.000081,0.191837,1158.11,1060.70,2625.00,0.611304,0.352941,-1.404375,0.463581,0.757867,-0.069471,-0.049002,0.301400,281.25,0.042601,11.3366,0.3551
251,0.000092,0.229243,1125.04,1051.68,2625.00,0.626342,0.262745,-0.986339,0.359775,0.623553,-0.002957,-0.274269,0.280237,281.25,0.029918,7.8232,0.4216
256,0.000074,0.167781,1197.56,1115.95,2765.62,0.666349,0.321569,-0.748771,0.361236,0.548883,-0.201139,-0.376926,0.416714,281.25,0.028937,7.3966,0.4468
261,0.000067,0.198651,1189.61,1088.54,2625.00,0.643910,0.356863,-1.220943,0.270168,0.776351,-0.196090,-0.071262,0.441775,328.12,0.036150,9.5577,0.3406
267,0.000080,0.200242,1352.26,1087.66,2671.88,0.693107,0.168627,-0.997319,-0.164038,0.577468,-0.224543,0.092633,0.715798,328.12,0.030656,8.8831,0.2719
272,0.000087,0.188337,1195.20,1030.68,2484.38,0.659106,0.215686,-0.652824,-0.057029,0.562193,-0.295613,-0.051058,0.494331,328.12,0.028199,7.7656,0.3597
277,0.000088,0.232939,1067.28,1047.59,2484.38,0.607767,0.423529,-0.284069,0.177813,0.721141,-0.702179,-0.266230,0.353522,328.12,0.032505,8.5917,0.4758
283,0.000101,0.278740,1042.26,1036.41,2578.12,0.579284,0.313726,-0.605433,0.450226,0.622413,-0.443353,-0.143458,0.119606,328.12,0.030685,7.6111,0.4836
288,0.000084,0.162000,1160.92,1048.89,2671.88,0.669678,0.443137,-0.992286,0.362653,0.436333,-0.029419,-0.038189,0.260910,281.25,0.025250,7.0082,0.3950
293,0.000093,0.228521,1282.42,1136.89,2953.12,0.671659,0.262745,-0.847444,0.270039,0.484874,-0.121042,-0.202595,0.416169,234.38,0.021997,6.2826,0.4024
299,0.000087,0.230592,1215.75,1114.55,2765.62,0.598779,0.262745,-1.043713,0.271498,0.742370,-0.034630,-0.405082,0.469556,281.25,0.023395,6.3556,0.3969
304,0.000076,0.214236,1133.26,1024.19,2484.38,0.596209,0.376471,-1.329356,0.254785,0.830529,0.014850,-0.208141,0.437331,328.12,0.033816,9.2565,0.3426
309,0.000083,0.267964,1160.60,1044.86,2531.25,0.681687,0.203922,-0.992428,0.157900,0.615709,-0.039981,0.047345,0.211454,281.25,0.028903,7.3101,0.3666
315,0.000061,0.261767,1228.76,1061.89,2718.75,0.727002,0.352941,-1.214668,0.153945,0.491456,0.232712,0.027451,0.309104,234.38,0.026066,5.6304,0.3321
320,0.000079,0.160063,1309.59,1098.08,2859.38,0.716493,0.243137,-1.309517,0.030048,0.585050,0.116844,-0.031089,0.608662,328.12,0.019789,4.8156,0.2832
325,0.000092,0.114940,1270.42,1085.21,2812.50,0.712028,0.168627,-1.200805,0.003108,0.664663,0.027449,-0.032701,0.538288,328.12,0.021359,5.7692,0.2991
331,0.000085,0.303250,1018.87,988.43,2390.62,0.612446,0.200000,-0.689936,0.255182,0.708449,-0.244817,-0.198876,0.169998,328.12,0.033885,7.9664,0.4494
336,0.000066,0.262765,951.82,952.88,2250.00,0.584063,0.282353,-0.354329,0.382966,0.402477,-0.082091,-0.322688,-0.026335,375.00,0.031162,6.4205,0.5471
341,0.000092,0.181785,1173.67,1103.73,2765.62,0.659278,0.192157,-0.671165,0.054408,0.635186,-0.138547,-0.247168,0.367286,328.12,0.034250,8.6148,0.4089
347,0.000085,0.182840,1124.80,1122.34,2859.38,0.570332,0.172549,-0.895589,0.379416,0.838335,-0.467525,-0.226696,0.372060,328.12,0.043429,11.3316,0.4181
352,0.000065,0.225232,1047.40,1031.87,2625.00,0.577300,0.219608,-0.922809,0.071196,0.939042,-0.024549,-0.290277,0.227398,328.12,0.039879,9.9770,0.4027
357,0.000077,0.153898,1123.95,1007.22,2671.88,0.597452,0.196078,-1.437634,-0.578110,1.049466,0.460820,0.054315,0.451142,328.12,0.034213,9.4719,0.2209
363,0.000065,0.229242,1229.58,1013.05,2718.75,0.692320,0.290196,-1.168899,-0.342221,0.612965,0.204653,0.278409,0.415094,328.12,0.036146,9.7299,0.2493
368,0.000087,0.195113,1157.92,1018.09,2531.25,0.627887,0.164706,-1.156010,0.042298,0.860836,-0.295350,0.054046,0.494180,328.12,0.037391,10.5532,0.3034
373,0.000081,0.186752,1253.92,1081.02,2765.62,0.643167,0.203922,-1.748755,0.139696,0.953727,-0.111189,0.037841,0.728680,328.12,0.038475,10.8846,0.2337
379,0.000071,0.239414,1128.38,1032.20,2578.12,0.637936,0.215686,-1.756343,0.180507,0.972970,0.180775,-0.034221,0.456313,328.12,0.040601,9.9057,0.2691
384,0.000075,0.164181,1117.67,1036.44,2578.12,0.632010,0.235294,-1.136577,-0.116872,0.948576,-0.071048,-0.029013,0.404933,328.12,0.035782,9.7737,0.3069
389,0.000082,0.280644,1112.69,1091.11,2671.88,0.638164,0.188235,-0.567696,0.214654,0.600194,-0.087288,-0.443742,0.283880,328.12,0.026483,6.6517,0.4759
395,0.000094,0.213204,1072.89,1045.20,2531.25,0.566720,0.192157,-0.697028,-0.041998,0.890411,-0.314116,-0.099043,0.261775,328.12,0.038134,10.3050,0.3892
400,0.000082,0.244514,1016.42,982.51,2343.75,0.605263,0.227451,-0.926562,0.124343,0.928360,-0.179924,-0.081500,0.135283,328.12,0.048831,12.0715,0.3946
405,0.000079,0.175270,1126.57,1041.98,2625.00,0.645043,0.203922,-0.805800,0.209683,0.684968,-0.146571,-0.185445,0.243165,328.12,0.041117,10.1327,0.4190
411,0.000085,0.180227,1129.61,1041.84,2578.12,0.642489,0.121569,-0.992459,0.053689,0.790048,-0.116288,-0.054628,0.319637,328.12,0.040514,10.6114,0.3539
416,0.000081,0.189841,1147.12,1054.49,2625.00,0.647607,0.254902,-0.892283,0.041631,0.785031,-0.376354,0.087591,0.354384,328.12,0.043200,11.1487,0.3438
421,0.000086,0.219028,1173.28,1042.43,2625.00,0.672485,0.184314,-1.049781,0.098935,0.730248,-0.183109,0.036869,0.366838,328.12,0.039716,9.5292,0.3369
427,0.000084,0.297898,1115.45,983.39,2343.75,0.686919,0.200000,-1.527153,0.353239,0.655329,0.211420,0.089412,0.217752,281.25,0.035808,7.5023,0.3229
432,0.000086,0.201276,1212.85,1085.83,2765.62,0.682104,0.207843,-1.626783,0.409993,0.793546,-0.007732,-0.009934,0.440912,281.25,0.044685,9.7030,0.3049
437,0.000061,0.159476,1170.23,1092.22,2812.50,0.605832,0.258824,-1.498083,0.286843,0.963041,-0.108525,-0.085415,0.442141,328.12,0.040788,9.9977,0.3135
443,0.000060,0.195561,1296.28,1124.03,2859.38,0.632595,0.286275,-1.641105,0.168103,0.961792,-0.130548,-0.119241,0.760999,375.00,0.030966,8.8114,0.2578
448,0.000086,0.174697,1452.73,1159.52,2906.25,0.651463,0.180392,-1.113313,-0.013805,0.656163,-0.324378,-0.112778,0.908111,375.00,0.017012,5.3372,0.2766
453,0.000077,0.321610,1250.70,1114.08,2765.62,0.707672,0.160784,-0.897872,0.171885,0.602790,-0.146852,-0.230771,0.500821,281.25,0.030932,7.6538,0.3780
459,0.000059,0.192125,1118.11,1045.31,2484.38,0.629165,0.352941,-0.938556,0.198233,0.706459,-0.058140,-0.174974,0.266979,328.12,0.036589,9.0633,0.3974
464,0.000074,0.194385,1196.52,1070.72,2625.00,0.679277,0.203922,-1.107777,0.227984,0.712580,-0.036429,-0.190314,0.393955,281.25,0.029553,7.9962,0.3678
469,0.000083,0.172047,1338.35,1114.45,2906.25,0.686339,0.176471,-1.316229,-0.004837,0.695331,-0.021501,0.072841,0.574393,281.25,0.027768,8.5302,0.2721
475,0.000085,0.259147,1305.56,1101.29,2906.25,0.688389,0.196078,-1.541710,0.163922,0.896593,-0.392912,0.277059,0.597048,328.12,0.039561,10.3765,0.2449
480,0.000089,0.208008,1163.56,1056.04,2718.75,0.637981,0.164706,-0.947638,-0.049929,0.864971,-0.324603,0.116320,0.340879,328.12,0.046177,11.8155,0.3258
485,0.000093,0.216564,1059.14,1033.35,2578.12,0.572337,0.149020,-0.904607,0.185795,0.888468,-0.174323,-0.174805,0.179474,328.12,0.042838,9.9948,0.4105
491,0.000098,0.295634,1086.13,1010.29,2578.12,0.624876,0.160784,-1.278118,0.419822,0.781850,0.033243,-0.109075,0.152278,281.25,0.045819,9.6838,0.3892
496,0.000094,0.156222,1063.80,1014.48,2578.12,0.566670,0.168627,-1.246166,0.480589,0.785405,-0.045416,-0.097032,0.122622,281.25,0.052070,12.1881,0.4024
501,0.000060,0.175612,996.28,975.89,2343.75,0.579571,0.372549,-0.942137,0.466810,0.744394,-0.105740,-0.166809,0.003481,281.25,0.051690,11.5464,0.4611
507,0.000073,0.202471,1072.94,1023.64,2531.25,0.636784,0.223529,-0.944797,0.282050,0.642657,0.211874,-0.373040,0.181257,328.12,0.026642,6.0915,0.4414
512,0.000069,0.137829,1217.59,1048.90,2625.00,0.728697,0.341176,-0.867370,-0.102827,0.501310,0.132732,-0.027529,0.363683,328.12,0.020759,5.5770,0.3423
517,0.000073,0.219383,1181.12,1018.77,2390.62,0.633413,0.247059,-0.614785,0.068690,0.545659,-0.479883,0.038007,0.442312,328.12,0.031008,9.6580,0.3744
523,0.000083,0.208749,1240.73,1013.86,2531.25,0.658550,0.188235,-0.875084,-0.258965,0.594128,-0.178637,0.222524,0.496032,328.12,0.035505,10.2279,0.2837
528,0.000067,0.251319,1316.20,1071.30,2718.75,0.700408,0.360784,-1.140326,-0.412048,0.806431,-0.175040,0.233953,0.687029,328.12,0.036254,9.1753,0.2250
533,0.000079,0.149703,1364.80,1102.13,2812.50,0.707629,0.243137,-0.927339,-0.386718,0.641712,-0.087529,0.107506,0.652367,375.00,0.031055,8.3833,0.2617
539,0.000063,0.188063,1324.49,1126.45,2906.25,0.668377,0.376471,-1.044897,-0.131572,0.720952,-0.181413,-0.044554,0.681484,328.12,0.029610,8.2857,0.2877
544,0.000055,0.253782,1308.66,1115.27,2812.50,0.696555,0.400000,-0.993553,0.009182,0.506011,-0.060940,-0.054171,0.593473,328.12,0.023968,6.2134,0.3182
549,0.000059,0.169789,1468.27,1095.74,2812.50,0.745307,0.337255,-1.031164,-0.250771,0.157359,0.255275,0.089871,0.779430,375.00,0.011497,3.5072,0.2543
555,0.000065,0.256515,1349.57,1102.73,2859.38,0.754326,0.274510,-0.926378,-0.326508,0.399078,0.325578,-0.019474,0.547702,468.75,0.012435,3.8619,0.2910
560,0.000082,0.273696,1309.65,1054.84,2765.62,0.714216,0.235294,-0.908624,-0.266155,0.421837,0.042032,0.193773,0.517137,375.00,0.021189,6.2551,0.2803
565,0.000083,0.244560,1158.07,1057.04,2671.88,0.644715,0.219608,-1.187991,0.082016,0.867302,-0.198263,-0.016042,0.452979,375.00,0.030942,8.5699,0.3162
571,0.000070,0.235054,1100.72,1021.78,2484.38,0.585562,0.290196,-1.421632,0.219282,1.028741,-0.137580,-0.135655,0.446845,328.12,0.041429,11.5031,0.3193
576,0.000064,0.174902,1149.73,1040.00,2531.25,0.659929,0.313726,-1.176687,0.011069,0.811090,0.074419,-0.113963,0.394072,328.12,0.028043,8.1518,0.3268
581,0.000072,0.230624,1313.74,1064.84,2765.62,0.749345,0.274510,-1.477446,-0.182510,0.690386,0.112255,0.341588,0.515728,375.00,0.021401,5.7441,0.2212
587,0.000106,0.218728,1340.17,1090.35,2859.38,0.698614,0.098039,-1.517958,0.077544,0.634719,-0.150137,0.443116,0.512716,281.25,0.024654,6.1652,0.2318
592,0.000071,0.231691,1154.18,1049.79,2625.00,0.626730,0.313726,-1.392042,0.019186,0.903519,-0.164514,0.267923,0.365928,328.12,0.042254,9.6364,0.2683
597,0.000093,0.206414,1120.13,1027.06,2625.00,0.637417,0.152941,-1.027431,0.136266,0.699375,-0.082402,0.076205,0.197987,328.12,0.038103,8.4365,0.3583
603,0.000077,0.225416,1145.28,1113.39,2812.50,0.646688,0.243137,-0.783748,0.548224,0.538156,-0.267997,-0.291690,0.257053,281.25,0.042843,9.8078,0.4749
608,0.000082,0.254367,1215.03,1101.27,2765.62,0.623300,0.223529,-1.414346,0.330060,0.845470,-0.026938,-0.295615,0.561369,328.12,0.038865,8.6569,0.3374
613,0.000089,0.201683,1310.84,1064.74,2718.75,0.668508,0.188235,-1.358830,-0.176069,0.836078,-0.169793,0.125686,0.742928,328.12,0.042073,9.7848,0.2312
619,0.000107,0.147362,1325.43,1110.11,2812.50,0.676338,0.105882,-0.977243,-0.070728,0.752476,-0.425091,0.044491,0.676097,328.12,0.044555,11.1054,0.2923
624,0.000080,0.264531,1075.61,1003.89,2531.25,0.582455,0.211765,-0.925543,0.178034,0.883213,-0.361137,-0.007698,0.233132,328.12,0.052236,11.7632,0.3807
629,0.000065,0.279542,1054.31,1023.55,2531.25,0.576313,0.286275,-1.189493,0.236122,0.871218,-0.031879,-0.099416,0.213448,375.00,0.039186,7.8916,0.3697
635,0.000087,0.161048,1161.41,1044.92,2671.88,0.626351,0.207843,-1.109835,-0.015090,0.618983,0.331310,-0.122370,0.297000,234.38,0.025537,6.0125,0.3430
640,0.000068,0.235862,1168.47,1061.92,2625.00,0.660268,0.243137,-1.195307,0.128090,0.644598,0.271165,-0.181509,0.332963,281.25,0.025789,5.9439,0.3522
645,0.000100,0.271963,1218.38,1031.55,2531.25,0.740139,0.160784,-0.972327,-0.075747,0.464398,0.239989,0.006050,0.337636,421.88,0.020217,4.1853,0.3327
651,0.000091,0.211653,1247.15,1019.98,2578.12,0.714147,0.121569,-1.227971,-0.074619,0.526963,0.338793,0.048725,0.388109,328.12,0.023714,4.4865,0.2953
656,0.000061,0.188326,1157.97,1033.12,2578.12,0.673264,0.309804,-1.241407,0.251574,0.667507,0.063128,-0.003723,0.262921,281.25,0.042610,8.2056,0.3488
661,0.000082,0.150649,1140.52,1036.63,2671.88,0.618840,0.215686,-1.433748,0.228086,0.816826,0.034282,0.109989,0.244565,281.25,0.031040,7.5000,0.3143
667,0.000127,0.197997,1207.92,1041.92,2625.00,0.698869,0.109804,-1.192221,0.161915,0.546147,0.003330,0.011610,0.469218,375.00,0.022703,5.6586,0.3196
672,0.000095,0.367213,1109.16,1052.07,2484.38,0.594206,0.149020,-1.563973,0.474093,0.902258,-0.079305,-0.189033,0.455961,328.12,0.043410,7.9825,0.3366
677,0.000062,0.325246,1090.09,1072.41,2625.00,0.620073,0.345098,-0.733007,0.147409,0.712425,0.027134,-0.416514,0.262553,375.00,0.038213,5.5937,0.4463
683,0.000099,0.089845,1308.88,1131.76,2906.25,0.686685,0.176471,-0.526340,-0.218767,0.391361,0.042474,-0.193295,0.504567,421.88,0.028935,5.8659,0.3709
688,0.000071,0.263922,1194.48,1067.67,2718.75,0.693675,0.243137,-0.526874,0.220996,0.246461,-0.158314,-0.050405,0.268136,281.25,0.028975,5.6293,0.4349
693,0.000079,0.117313,1221.60,1090.70,2765.62,0.698027,0.286275,-0.797923,0.310687,0.387406,-0.042800,-0.203657,0.346288,281.25,0.030315,6.5435,0.4219
699,0.000076,0.216213,1342.90,1061.92,2812.50,0.688396,0.250980,-1.637218,0.118267,0.634867,0.125320,0.177486,0.581277,281.25,0.026784,6.4536,0.2425
704,0.000095,0.273207,1233.10,1023.62,2625.00,0.739428,0.176471,-1.032704,-0.183895,0.641285,-0.001542,0.096665,0.480190,375.00,0.028860,6.3561,0.2897
709,0.000079,0.234971,1296.04,1078.01,2718.75,0.708257,0.243137,-1.374904,-0.153520,0.836120,-0.216788,0.221687,0.687404,375.00,0.037490,7.5947,0.2282
715,0.000092,0.221347,1311.15,1066.33,2812.50,0.673310,0.184314,-1.863833,0.152809,0.723989,0.079290,0.271363,0.636383,281.25,0.033029,6.5794,0.2126
720,0.000101,0.238942,1192.52,1019.61,2671.88,0.664252,0.211765,-1.141176,0.036680,0.600340,0.017609,0.147518,0.339031,281.25,0.034250,6.8444,0.3110
725,0.000097,0.238165,1183.38,1038.29,2671.88,0.699954,0.160784,-0.767617,0.103794,0.284266,0.221089,-0.129537,0.288005,281.25,0.035450,6.4613,0.3986
731,0.000095,0.262654,1117.88,1028.19,2531.25,0.624922,0.176471,-0.742699,0.042598,0.485716,0.276113,-0.265263,0.203535,328.12,0.031714,5.2961,0.4209
736,0.000089,0.184440,1211.72,1027.29,2718.75,0.659810,0.188235,-1.079467,-0.370856,0.662523,0.428242,-0.029007,0.388566,328.12,0.030714,5.2696,0.2880
741,0.000074,0.183499,1292.06,1056.94,2765.62,0.695286,0.333333,-1.450260,-0.090268,0.719898,0.056639,0.146614,0.617375,328.12,0.032163,6.1892,0.2401
747,0.000072,0.224353,1262.30,1071.42,2671.88,0.742463,0.250980,-1.042512,0.214905,0.381844,-0.072634,0.073586,0.444811,234.38,0.025442,4.9793,0.3378
752,0.000070,0.186944,1366.88,1053.69,2671.88,0.785652,0.309804,-1.024748,-0.315339,0.298912,0.109171,0.356334,0.575669,375.00,0.021091,4.6697,0.2430
