freq_hz,pre_db,post_db,delta_db
1558.593750,-35.046562,4.432450,39.479012
1570.312500,-38.077824,-1.552794,36.525028
1582.031250,-46.356888,-1.300943,45.055946
1593.750000,-46.585049,4.787039,51.372086
1605.468750,-39.552879,8.448530,48.001411
1617.187500,-38.066887,5.312277,43.379166
1628.906250,-36.318287,-0.984535,35.333752
1640.625000,-56.124092,-3.332270,52.791824
1652.343750,-35.168205,-2.293814,32.874390
1664.062500,-35.662819,2.663806,38.326626
1675.781250,-39.576756,6.096426,45.673180
1687.500000,-54.037418,3.852203,57.889622
1699.218750,-48.850903,-3.360918,45.489986
1710.937500,-43.672768,-12.056553,31.616215
1722.656250,-37.164726,-13.064557,24.100170
1734.375000,-36.538269,-22.771017,13.767252
1746.093750,-39.191883,-7.838263,31.353621
1757.812500,-43.583660,0.782607,44.366268
1769.531250,-60.929504,0.944623,61.874126
1781.250000,-46.561165,-6.277053,40.284111
1792.968750,-43.880047,0.721465,44.601513
1804.687500,-50.254868,-2.468282,47.786587
1816.406250,-56.211464,-16.186436,40.025028
1828.125000,-50.183430,-21.496393,28.687037
1839.843750,-40.841187,-7.491823,33.349365
1851.562500,-38.808392,-10.055861,28.752529
1863.281250,-37.787201,-1.141852,36.645348
1875.000000,-37.765926,0.426722,38.192650
1886.718750,-41.514278,-9.352023,32.162254
1898.437500,-44.359253,3.372524,47.731777
1910.156250,-57.532047,1.754573,59.286621
1921.875000,-39.796543,-8.940166,30.856377
1933.593750,-47.427845,-7.899871,39.527973
1945.312500,-34.407719,-1.413103,32.994614
1957.031250,-37.371384,-7.827806,29.543577
1968.750000,-38.649189,-17.741451,20.907738
1980.468750,-36.020008,-13.859274,22.160734
1992.187500,-37.539474,-20.529400,17.010075
2003.906250,-53.756199,1.452632,55.208832
2015.625000,-38.743652,2.911556,41.655209
2027.343750,-42.532906,-14.503941,28.028965
2039.062500,-48.066360,-9.907772,38.158588
2050.781250,-45.188019,-10.036878,35.151142
2062.500000,-41.259617,-8.971293,32.288322
2074.218750,-46.255928,-1.908863,44.347065
2085.937500,-38.272461,0.083775,38.356236
2097.656250,-38.609879,-5.047884,33.561993
2109.375000,-49.238312,-11.899451,37.338860
2121.093750,-41.705173,-15.767414,25.937759
2132.812500,-41.013374,-12.354612,28.658762
2144.531250,-41.043045,-5.414842,35.628204
2156.250000,-39.682835,-5.979685,33.703148
2167.968750,-53.785400,-12.418446,41.366955
2179.687500,-52.159088,-22.961918,29.197170
2191.406250,-43.903511,-14.204326,29.699184
2203.125000,-47.154270,-10.821847,36.332424
2214.843750,-44.119793,-12.160101,31.959692
2226.562500,-41.990898,-22.578451,19.412447
2238.281250,-42.263851,-21.315250,20.948601
2250.000000,-39.315514,-18.491882,20.823631
2261.718750,-37.680832,-14.866815,22.814018
2273.437500,-39.261189,-19.616478,19.644711
2285.156250,-42.678410,-23.905249,18.773161
2296.875000,-47.434586,-26.798555,20.636030
2308.593750,-38.881775,-23.494055,15.387720
2320.312500,-37.160797,-32.288124,4.872673
2332.031250,-47.129089,-18.440994,28.688095
2343.750000,-44.878143,-10.507524,34.370621
2355.468750,-43.219376,-8.466776,34.752602
2367.187500,-40.898418,-6.747497,34.150921
2378.906250,-48.231949,-12.010090,36.221859
2390.625000,-45.797127,-22.683012,23.114115
2402.343750,-50.426517,-21.734394,28.692123
2414.062500,-38.460197,-25.729368,12.730829
2425.781250,-37.838348,-17.623516,20.214832
2437.500000,-45.214611,-18.817533,26.397078
2449.218750,-49.055084,-18.120749,30.934336
2460.937500,-48.499382,-16.075550,32.423832
2472.656250,-48.943600,-16.882027,32.061573
2484.375000,-45.629623,-28.724089,16.905535
2496.093750,-43.999176,-20.313997,23.685179
2507.812500,-55.534302,-4.934153,50.600147
2519.531250,-42.606041,-2.537252,40.068790
2531.250000,-43.293472,-12.339992,30.953480
2542.968750,-46.362415,-24.445072,21.917343
2554.687500,-38.549339,-16.620007,21.929333
2566.406250,-42.756882,-8.396308,34.360573
2578.125000,-39.328072,-8.460577,30.867495
2589.843750,-39.629471,-14.558848,25.070621
2601.562500,-43.483604,-14.869422,28.614182
2613.281250,-37.586121,-18.086233,19.499887
2625.000000,-40.301586,-22.820406,17.481180
2636.718750,-50.282993,-19.749544,30.533449
2648.437500,-50.613152,-14.150132,36.463020
2660.156250,-48.641811,-5.389030,43.252781
2671.875000,-43.142277,-6.310028,36.832249
2683.593750,-38.745220,-11.848025,26.897194
2695.312500,-38.597771,-18.255934,20.341837
2707.031250,-37.716759,-20.949574,16.767185
2718.750000,-38.386520,-22.352369,16.034151
2730.468750,-48.888992,-13.125049,35.763943
2742.187500,-43.677048,-8.945852,34.731194
2753.906250,-39.739952,-13.238564,26.501389
2765.625000,-45.992317,-15.934945,30.057373
2777.343750,-46.861031,-20.148651,26.712379
2789.062500,-47.627102,-30.912905,16.714197
2800.781250,-48.679356,-29.873043,18.806313
2812.500000,-40.812172,-17.811464,23.000708
2824.218750,-38.180595,-18.355629,19.824966
2835.937500,-39.564659,-26.486702,13.077957
2847.656250,-42.685123,-24.550207,18.134916
2859.375000,-45.329929,-29.918583,15.411346
2871.093750,-77.743973,-19.201681,58.542290
2882.812500,-46.469769,-13.047999,33.421768
2894.531250,-39.857208,-16.868015,22.989193
2906.250000,-49.193954,-30.620573,18.573381
2917.968750,-37.523197,-26.613028,10.910170
2929.687500,-35.086567,-17.815510,17.271057
2941.406250,-36.981308,-17.875484,19.105824
2953.125000,-41.834259,-26.739586,15.094673
2964.843750,-42.963943,-27.959381,15.004562
2976.562500,-41.065811,-25.090851,15.974960
