label,mode,folder,fs,pre_ms,lead_ms,post_ms,peak,clip,rms_pre,rms_post,snr_proxy_db,onset_sample,onset_ms_est,onset_minus_enter_ms,flags,moved_to
a#1,stress,a#1\rep001_20251219-232155,48000,300,0,400,0.14056396484375,0,0.0025905435904860497,0.03783215582370758,23.28940058329975,15360,320.0,20.0,,
a#1,stress,a#1\rep002_20251219-232159,48000,300,0,400,0.162017822265625,0,0.002079951111227274,0.04235714673995972,26.177467437185324,15120,315.0,15.0,,
a#1,stress,a#1\rep003_20251219-232202,48000,300,0,400,0.1610107421875,0,0.0031899104360491037,0.041001319885253906,22.180384449211154,15360,320.0,20.0,,
a#1,stress,a#1\rep004_20251219-232207,48000,300,0,400,0.14361572265625,0,0.0022948812693357468,0.036198507994413376,23.95860543824582,15600,325.0,25.0,,
a#1,stress,a#1\rep005_20251219-232214,48000,300,0,400,0.10626220703125,0,0.004579086322337389,0.027628520503640175,15.611574388783989,16560,345.0,45.0,,
a#2,stress,a#2\rep001_20251219-234422,48000,300,0,400,0.131103515625,0,0.010440611280500889,0.03342596814036369,10.107160793248804,15840,330.0,30.0,,
a#2,stress,a#2\rep002_20251219-234426,48000,300,0,400,0.13067626953125,0,0.01066642627120018,0.03543887659907341,10.429219644293493,16080,335.0,35.0,,
a#2,stress,a#2\rep003_20251219-234429,48000,300,0,400,0.118438720703125,0,0.005448258016258478,0.028199506923556328,14.279675675757016,14880,310.0,10.0,,
a#2,stress,a#2\rep004_20251219-234433,48000,300,0,400,0.12542724609375,0,0.004198059439659119,0.03078722208738327,17.306436635964353,15840,330.0,30.0,,
a#2,stress,a#2\rep005_20251219-234436,48000,300,0,400,0.0982666015625,0,0.005637828726321459,0.026078561320900917,13.303433808453704,15840,330.0,30.0,,
a#3,stress,a#3\rep001_20251219-234855,48000,300,0,400,0.1451416015625,0,0.003543953178450465,0.03388302028179169,19.609880610423215,14880,310.0,10.0,,
a#3,stress,a#3\rep002_20251219-234858,48000,300,0,400,0.133392333984375,0,0.002007421338930726,0.03038775734603405,23.601198226878083,14880,310.0,10.0,,
a#3,stress,a#3\rep003_20251219-234901,48000,300,0,400,0.138641357421875,0,0.00407952256500721,0.03135836869478226,17.714880594405063,14880,310.0,10.0,,
a#3,stress,a#3\rep004_20251219-234905,48000,300,0,400,0.1353759765625,0,0.0016449048416689038,0.030033228918910027,25.229219957902064,15120,315.0,15.0,,
a#3,stress,a#3\rep005_20251219-234910,48000,300,0,400,0.1385498046875,0,0.0032483995892107487,0.029829323291778564,19.259476700662205,15120,315.0,15.0,,
a#4,stress,a#4\rep001_20251219-235224,48000,300,0,400,0.089935302734375,0,0.0036567968782037497,0.01917354203760624,14.392028326878512,15120,315.0,15.0,,
a#4,stress,a#4\rep002_20251219-235227,48000,300,0,400,0.088226318359375,0,0.002356842625886202,0.01939830183982849,18.308659332276516,14400,300.0,0.0,,
a#4,stress,a#4\rep003_20251219-235230,48000,300,0,400,0.087738037109375,0,0.00415424769744277,0.018697183579206467,13.065674461194245,14400,300.0,0.0,,
a#4,stress,a#4\rep004_20251219-235233,48000,300,0,400,0.09405517578125,0,0.003657412249594927,0.019905388355255127,14.7159328613624,14400,300.0,0.0,,
a#4,stress,a#4\rep005_20251219-235237,48000,300,0,400,0.062164306640625,0,0.002323957160115242,0.013654269278049469,15.380803806488801,16320,340.0,40.0,,
a#5,stress,a#5\rep001_20251219-235602,48000,300,0,400,0.07086181640625,0,0.001049521379172802,0.014253219589591026,22.65842605947671,14400,300.0,0.0,,
a#5,stress,a#5\rep002_20251219-235605,48000,300,0,400,0.096832275390625,0,0.0017769649857655168,0.017884980887174606,20.05618779857205,14640,305.0,5.0,,
a#5,stress,a#5\rep003_20251219-235609,48000,300,0,400,0.08770751953125,0,0.002593152690678835,0.01736380346119404,16.51633258481369,16080,335.0,35.0,,
a#5,stress,a#5\rep004_20251219-235612,48000,300,0,400,0.091644287109375,0,0.002568594180047512,0.017954617738723755,16.88961048342017,15360,320.0,20.0,,
a#6,stress,a#6\rep001_20251220-000007,48000,300,0,400,0.099853515625,0,0.0009724838891997933,0.023217499256134033,27.55865194352078,14400,300.0,0.0,,
a#6,stress,a#6\rep002_20251220-000023,48000,300,0,400,0.092071533203125,0,0.0043348586186766624,0.02377915196120739,14.784426856024574,16800,350.0,50.0,,
a0,stress,a0\rep006_20251219-230928,48000,300,0,400,0.107696533203125,0,0.0008122696890495718,0.025415504351258278,29.907959350805896,17040,355.0,55.0,,
