true\pred,a0,a1,a3,c1,c3,c4,c5,d#3,e4,f#3,f1,g4
a0,1700,0,0,0,0,0,0,0,0,0,0,0
a1,0,1800,0,0,0,0,0,0,0,0,0,0
a3,0,0,1800,0,0,0,0,0,0,0,0,0
c1,0,0,0,1800,0,0,0,0,0,0,0,0
c3,0,0,0,0,1800,0,0,0,0,0,0,0
c4,11,0,0,0,0,1787,0,0,0,0,2,0
c5,0,0,0,0,0,0,1800,0,0,0,0,0
d#3,0,0,0,0,0,0,0,1800,0,0,0,0
e4,0,0,0,0,0,0,0,0,1800,0,0,0
f#3,0,0,0,0,0,0,0,0,0,1800,0,0
f1,0,0,0,0,0,0,0,0,0,0,1800,0
g4,0,0,0,0,0,0,0,0,0,0,0,1800
