N,label,acc,total
1,a0,0.976,1000
1,a1,1.0,1000
1,a3,1.0,1000
1,c1,1.0,1000
1,c3,1.0,1000
1,c4,1.0,1000
1,d#3,1.0,1000
1,e4,1.0,1000
1,f#3,0.932,1000
1,g4,1.0,1000
